"52,58","0,0","16,22","36,48","44,58","47,63","49,66","50,68","51,70","52,70","52,67"
"-89,-33","0,0","-12,-4","-27,-9","-38,-13","-49,-19","-58,-24","-66,-27","-73,-29","-80,-31","-84,-32"
"74,-153","0,0","10,-24","26,-59","44,-101","52,-115","56,-121","62,-132","66,-140","70,-145","72,-149"
"-119,-37","0,0","-25,-9","-44,-15","-65,-23","-79,-29","-87,-33","-92,-35","-98,-37","-105,-37","-111,-37"
"51,191","0,0","17,50","43,119","50,146","53,157","55,164","56,168","58,177","59,182","60,186"
"-186,-20","0,0","-41,-14","-96,-27","-116,-30","-130,-30","-139,-27","-146,-26","-154,-25","-167,-23","-178,-22"
"-25,127","0,0","-4,27","-8,61","-10,78","-11,88","-13,94","-16,103","-18,110","-20,118","-24,123"
"-40,46","0,0","-4,4","-10,10","-15,18","-20,24","-24,29","-27,32","-30,36","-32,40","-35,43"
"63,-8","0,0","7,0","14,0","23,0","32,0","38,0","42,0","47,0","50,-2","53,-4"
"38,68","0,0","0,5","5,13","12,25","17,34","21,40","25,47","30,54","32,60","34,64"
"132,-60","0,0","81,-47","115,-68","122,-73","129,-77","135,-79","144,-79","146,-75","138,-67","132,-60"
"-186,185","0,0","-62,44","-108,89","-132,112","-146,124","-158,135","-170,145","-177,156","-182,166","-186,177"
"-146,99","0,0","-43,26","-67,44","-81,55","-91,62","-100,68","-111,75","-124,82","-136,91","-146,99"
"6,104","0,0","0,6","0,26","4,52","6,66","6,72","6,79","7,86","7,92","7,96"
"50,148","0,0","2,11","16,44","29,76","37,98","40,107","42,114","44,122","47,133","50,140"
"-65,-185","0,0","-37,-91","-54,-143","-58,-157","-59,-162","-61,-169","-64,-177","-67,-187","-69,-193","-70,-193"
"168,-127","0,0","48,-42","90,-71","112,-87","126,-97","137,-105","146,-112","154,-117","160,-122","165,-125"
"172,200","0,0","42,45","86,96","96,108","108,124","128,150","138,164","145,172","152,180","160,187"
"-160,-209","0,0","-57,-78","-87,-124","-93,-134","-109,-158","-121,-178","-128,-194","-134,-202","-139,-204","-150,-206"
"104,-138","0,0","24,-29","52,-64","68,-86","74,-96","80,-104","89,-116","96,-127","100,-132","102,-135"
"-58,-212","0,0","-9,-40","-24,-100","-30,-121","-32,-129","-37,-141","-42,-158","-48,-176","-52,-192","-56,-204"
"-158,-93","0,0","-43,-30","-92,-65","-109,-76","-117,-79","-123,-80","-129,-84","-139,-88","-145,-91","-152,-92"
"170,-90","0,0","35,-12","85,-26","114,-39","134,-48","140,-52","148,-57","154,-63","162,-74","166,-84"
"-5,-122","0,0","1,-27","2,-49","2,-58","2,-64","2,-71","2,-78","2,-84","0,-92","-1,-102"
"192,-19","0,0","92,4","166,2","190,0","209,-4","224,-6","231,-6","233,-10","226,-12","214,-15"
"-73,98","0,0","-19,21","-34,40","-42,53","-49,68","-56,78","-60,83","-63,87","-66,90","-69,94"
"-92,133","0,0","-25,24","-54,64","-68,92","-72,104","-74,112","-77,118","-80,122","-84,125","-88,127"
"-8,-40","0,0","-1,-4","-3,-11","-4,-16","-5,-20","-6,-24","-7,-26","-8,-28","-8,-30","-8,-32"
"115,56","0,0","32,13","52,23","60,28","66,31","81,38","91,45","97,48","100,51","105,53"
"3,139","0,0","-8,26","-10,40","-11,49","-12,60","-12,72","-12,82","-11,91","-9,101","-5,111"
"153,97","0,0","64,36","103,58","109,60","113,62","126,67","139,74","146,78","148,82","150,85"
"-122,188","0,0","-28,38","-61,98","-81,138","-91,158","-99,168","-107,176","-115,182","-119,186","-122,188"
"-115,-89","0,0","-34,-29","-58,-51","-70,-59","-78,-66","-88,-73","-96,-78","-102,-83","-107,-85","-111,-88"
"-4,-6","0,0","3,5","11,12","16,16","20,20","20,20","18,14","14,11","7,6","2,1"
"-73,-196","0,0","-48,-135","-65,-207","-68,-226","-69,-231","-70,-234","-72,-229","-72,-219","-73,-210","-73,-200"
"39,-33","0,0","7,-10","13,-18","17,-21","20,-24","22,-26","25,-27","27,-29","30,-30","33,-31"
"-92,-29","0,0","-11,-2","-35,-11","-56,-17","-66,-20","-71,-23","-76,-23","-80,-24","-84,-25","-87,-26"
"28,-73","0,0","1,-5","5,-14","10,-26","16,-40","20,-51","22,-56","24,-61","25,-64","26,-67"
"-74,21","0,0","-6,1","-18,4","-30,7","-41,11","-49,14","-54,15","-58,16","-62,18","-64,19"
"-126,-123","0,0","-49,-46","-79,-75","-83,-80","-87,-82","-101,-96","-109,-106","-113,-108","-117,-112","-121,-117"
"199,-98","0,0","69,-30","131,-55","159,-69","171,-77","180,-85","186,-90","191,-93","195,-95","199,-98"
"128,55","0,0","17,8","54,23","67,28","73,30","84,36","99,46","110,52","117,54","123,55"
"44,17","0,0","3,2","7,4","11,5","14,6","18,9","24,10","28,12","31,14","35,15"
"-144,92","0,0","-32,19","-62,39","-82,53","-95,63","-106,71","-116,76","-122,79","-128,82","-134,85"
"-42,-118","0,0","-14,-31","-31,-69","-34,-79","-36,-85","-38,-91","-40,-99","-40,-107","-42,-112","-42,-118"
"179,41","0,0","38,2","86,12","115,18","132,22","150,29","164,32","172,35","176,37","179,41"
"-197,-82","0,0","-50,-12","-98,-23","-129,-29","-150,-34","-166,-42","-177,-48","-186,-58","-192,-67","-196,-73"
"-142,-186","0,0","-27,-32","-66,-78","-79,-96","-93,-114","-112,-140","-120,-151","-126,-161","-134,-171","-138,-176"
"76,-49","0,0","7,-6","15,-10","22,-14","27,-17","34,-21","42,-26","52,-32","60,-38","67,-43"
"70,-153","0,0","31,-49","49,-75","53,-84","57,-90","62,-108","65,-129","66,-139","67,-146","70,-153"
"-69,-7","0,0","-10,-2","-21,-4","-29,-6","-35,-7","-41,-7","-45,-7","-47,-7","-52,-7","-55,-7"
"-196,-104","0,0","-53,-24","-96,-42","-118,-58","-143,-75","-158,-84","-166,-89","-176,-95","-184,-100","-190,-102"
"-53,177","0,0","-7,19","-19,61","-27,91","-33,117","-39,143","-42,158","-44,164","-47,168","-51,174"
"57,-69","0,0","8,-10","21,-22","28,-31","33,-36","36,-40","38,-42","41,-46","46,-52","50,-60"
